Test File	Test Method	Assertion	English Conversion
RegressionTest0	test01	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 320 + "'", int0 == 320)	int int 0 equals 320 is true
RegressionTest0	test02	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 326 + "'", int0 == 326)	int int 0 equals 326 is true
RegressionTest0	test03	org.junit.Assert.assertNull(aSTList2)	ast list is null
RegressionTest0	test04	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 319 + "'", int0 == 319)	int int 0 equals 319 is true
RegressionTest0	test05	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 344 + "'", int0 == 344)	int int 0 equals 344 is true
RegressionTest0	test06	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 307 + "'", int0 == 307)	int int 0 equals 307 is true
RegressionTest0	test07	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 304 + "'", int0 == 304)	int int 0 equals 304 is true
RegressionTest0	test08	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 325 + "'", int0 == 325)	int int 0 equals 325 is true
RegressionTest0	test09	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 355 + "'", int0 == 355)	int int 0 equals 355 is true
RegressionTest0	test10	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 76 + "'", int0 == 76)	int int 0 equals 76 is true
RegressionTest0	test11	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 346 + "'", int0 == 346)	int int 0 equals 346 is true
RegressionTest0	test12	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 367 + "'", int0 == 367)	int int 0 equals 367 is true
RegressionTest0	test13	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 327 + "'", int0 == 327)	int int 0 equals 327 is true
RegressionTest0	test14	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 339 + "'", int0 == 339)	int int 0 equals 339 is true
RegressionTest0	test15	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 404 + "'", int0 == 404)	int int 0 equals 404 is true
RegressionTest0	test16	org.junit.Assert.assertTrue("'" + int0 + "' != '" + 316 + "'", int0 == 316)	int int 0 equals 316 is true
